"","X","Zip.Code","Population","Cases","Deaths","Cases.Per.10000.Residents","totalanimalunits","deathsovercases","MortalityRate"
"657",686,27957,1298,27,0,190,0,0,0
"658",688,27938,1261,3,0,21,1468.1,0,0
"659",689,28766,1222,3,0,20,0,0,0
"660",691,27974,1206,4,0,29,0,0,0
"661",692,28611,1162,12,0,123,0,0,0
"662",693,27973,1143,4,0,27,0,0,0
"663",694,28683,1135,8,0,41,0,0,0
"664",695,28644,1117,6,0,38,0,0,0
"665",696,27022,1099,4,0,26,0,0,0
"666",697,27857,1094,30,1,187,0,0.0333333333333333,0.0914076782449726
"667",698,28006,1076,11,0,97,0,0,0
"668",699,27885,1066,26,0,303,0,0,0
"669",700,28772,1061,1,0,5,0,0,0
"670",701,27843,1054,11,0,116,857.37,0,0
"671",702,27946,1052,4,0,37,0,0,0
"672",703,27942,1045,3,0,32,3196.8,0,0
"673",704,28909,1031,4,0,37,0,0,0
"674",705,27866,1028,11,1,164,72,0.0909090909090909,0.0972762645914397
"675",706,28434,1023,12,0,88,8973.53,0,0
"676",707,28556,1019,0,0,0,0,NA,0
"677",708,28527,1016,3,0,33,21.6,0,0
"678",709,27953,1013,6,0,60,0,0,0
"679",710,28774,1008,10,0,64,0,0,0
"680",711,28649,994,5,0,48,0,0,0
"681",712,27936,994,8,0,83,0,0,0
"682",713,27919,985,4,0,33,832.8,0,0
"683",714,28781,973,0,0,0,0,NA,0
"684",715,28627,970,5,0,33,0,0,0
"685",716,28452,934,18,0,351,0,0,0
"686",717,27927,932,3,0,49,0,0,0
"687",718,28439,931,31,4,202,7552,0.129032258064516,0.429645542427497
"688",719,27826,915,0,0,0,0,NA,0
"689",720,27709,914,0,0,0,0,NA,0
"690",721,28448,887,10,0,82,72,0,0
"691",722,27916,885,1,0,18,0,0,0
"692",723,27014,854,7,0,73,0,0,0
"693",724,28101,826,0,0,0,0,NA,0
"694",725,27813,825,5,0,73,0,0,0
"695",726,28631,818,17,0,317,0,0,0
"696",727,27922,786,6,0,54,72,0,0
"697",728,27531,779,2,0,30,0,0,0
"698",729,28740,759,10,0,47,0,0,0
"699",730,27966,738,3,0,20,0,0,0
"700",731,27917,734,1,0,9,0,0,0
"701",734,27847,699,6,0,56,0,0,0
"702",735,27965,693,0,0,0,0,NA,0
"703",736,27923,682,1,0,10,0,0,0
"704",739,27915,665,11,0,145,0,0,0
